fold,model,accuracy,balanced_accuracy,precision,recall,f1
1,audio,58.84615384615385,58.90625000000001,57.87496011516855,58.90625000000001,56.98037586458129
1,video,33.46153846153846,34.0625,39.05587615776154,34.0625,25.294261988501475
1,fusion-paper,71.73076923076923,70.15625,74.78081548946822,70.15625,71.51836318502063
1,fusion-oof,47.30769230769231,48.28125,59.17139597209686,48.28125,46.247453698781584
2,audio,46.15384615384615,50.46874999999999,45.08363643530876,50.46874999999999,45.01889870720258
2,video,56.15384615384615,59.06249999999999,60.811986482255534,59.06249999999999,55.3876697592371
2,fusion-paper,59.23076923076923,60.78125,64.88486684286391,60.78125,58.477173965866236
2,fusion-oof,49.61538461538461,53.125,57.58283167317315,53.125,49.0107490777624
3,audio,47.30769230769231,52.5,42.604887752691134,52.5,44.34436581058899
3,video,44.230769230769226,43.59375,40.760018763499495,43.59375,38.71941175576602
3,fusion-paper,68.65384615384616,65.78125,72.30015664478522,65.78125,67.30215944918672
3,fusion-oof,32.11538461538462,32.34375,32.36908376711008,32.34375,26.63009950149252
4,audio,56.30252100840336,60.24305555555556,55.178595758335106,60.24305555555556,55.290351716939604
4,video,72.68907563025209,73.64583333333333,75.6797420298057,73.64583333333333,72.26587386265243
4,fusion-paper,78.78151260504201,78.47222222222221,79.91267102169945,78.47222222222221,78.16209759880229
4,fusion-oof,67.85714285714286,67.70833333333333,72.74402522296543,67.70833333333333,66.78569652703838
5,audio,61.77884615384615,62.109375,64.36800256350949,62.109375,62.24570777607352
5,video,56.25,57.421875,61.22905230531187,57.421875,53.57217780536313
5,fusion-paper,68.75,68.1640625,71.90573186192324,68.1640625,67.82742861933137
5,fusion-oof,33.17307692307692,36.1328125,38.88078338839962,36.1328125,32.21892039575199
