fold,model,accuracy,balanced_accuracy,precision,recall,f1
1,audio,58.84615384615385,57.65625000000001,63.81205641583938,57.65625000000001,58.6726571318938
1,video,45.76923076923077,46.71875,38.71921851962997,46.71875,39.758099950804194
1,fusion-paper,62.88461538461539,59.375,69.95984092145942,59.375,60.7538225583538
1,fusion-oof,56.34615384615385,53.75000000000001,62.34521808412814,53.75000000000001,54.619154695182814
2,audio,49.61538461538461,52.96875000000001,51.41744357168424,52.96875000000001,49.51412868103666
2,video,36.53846153846153,40.625,27.52911316559136,40.625,29.870947302510885
2,fusion-paper,55.19230769230769,57.03125,61.22016673789814,57.03125,54.51099551310894
2,fusion-oof,38.46153846153847,45.78124999999999,37.82658488248535,45.78124999999999,34.055593247051306
3,audio,56.15384615384615,56.56250000000001,56.57602912622899,56.56250000000001,55.6980980549194
3,video,33.65384615384615,32.1875,15.776190817346192,32.1875,20.889026103558482
3,fusion-paper,65.76923076923077,65.0,69.90990851134293,65.0,65.90839280615981
3,fusion-oof,44.61538461538462,46.09375,46.69265432781064,46.09375,42.04487965818379
4,audio,56.9327731092437,57.638888888888886,58.10254970320378,57.638888888888886,56.44097718810921
4,video,65.75630252100841,66.42361111111111,68.90824952390182,66.42361111111111,64.80285406222457
4,fusion-paper,74.78991596638656,75.0,78.72797832335016,75.0,75.27743023130213
4,fusion-oof,61.34453781512605,57.638888888888886,69.68093313484334,57.638888888888886,56.340144614234646
5,audio,53.84615384615385,52.734375,57.651544498071914,52.734375,52.44194991889663
5,video,45.43269230769231,46.09375,54.99656521716513,46.09375,44.136762411945476
5,fusion-paper,56.25,54.8828125,60.7992678676822,54.8828125,54.73584093155821
5,fusion-oof,50.480769230769226,49.609375,56.13123467544199,49.609375,46.868738232837565
