fold,model,accuracy,balanced_accuracy,precision,recall,f1
1,audio,55.96153846153846,55.15625000000001,65.71051095024897,55.15625000000001,55.88970502466564
1,video,24.03846153846154,29.062500000000004,11.883138758039676,29.062500000000004,15.880173960228023
1,fusion-paper,64.8076923076923,64.375,65.70769317237426,64.375,63.81289933260671
1,fusion-oof,47.5,48.125,55.79455414554182,48.125,48.84475431090982
2,audio,51.153846153846146,53.125,54.207479282870416,53.125,52.90757630524222
2,video,38.26923076923077,37.34375,33.50310942475377,37.34375,31.155285502969953
2,fusion-paper,62.5,63.59375000000001,62.41727696431818,63.59375000000001,61.49655233662246
2,fusion-oof,52.88461538461539,54.53125,62.02436053075019,54.53125,53.866196377140895
3,audio,58.07692307692308,58.74999999999999,57.69560613167607,58.74999999999999,56.92312661767648
3,video,43.84615384615385,43.90625,46.80653104281577,43.90625,39.21147944531644
3,fusion-paper,59.80769230769231,57.03125,69.92154904635225,57.03125,57.55922459367125
3,fusion-oof,32.69230769230769,32.1875,37.12204915008843,32.1875,29.003745584671293
4,audio,58.82352941176471,59.375,60.99293316065093,59.375,57.354638406011674
4,video,68.69747899159664,69.72222222222221,68.19127496470014,69.72222222222221,66.18496197019523
4,fusion-paper,75.21008403361344,75.41666666666667,73.99272452929767,75.41666666666667,73.95771293552804
4,fusion-oof,56.72268907563025,54.61805555555556,65.55753378983412,54.61805555555556,52.34632723208957
5,audio,48.55769230769231,50.1953125,50.88086115483408,50.1953125,48.553582177409204
5,video,51.92307692307693,47.0703125,48.10520309497088,47.0703125,43.341151267577324
5,fusion-paper,58.17307692307693,55.859375,66.32899970846003,55.859375,54.47649362227827
5,fusion-oof,50.96153846153846,49.0234375,54.227798959474626,49.0234375,48.39931324770107
