fold,model,accuracy,balanced_accuracy,precision,recall,f1
1,audio,80.65173116089613,,,,
1,video,91.0386965376782,,,,
1,fusion,94.5010183299389,93.76990553306344,95.21151917868805,93.76990553306344,94.36062726501068
2,audio,82.28105906313645,,,,
2,video,96.94501018329939,,,,
2,fusion,98.16700610997964,98.02378542510122,98.03007020616971,98.02378542510122,98.02148842611548
3,audio,84.08163265306122,,,,
3,video,96.12244897959184,,,,
3,fusion,97.14285714285714,96.6951754385965,97.26677653382396,96.6951754385965,96.90642940387076
4,audio,77.75510204081633,,,,
4,video,94.48979591836735,,,,
4,fusion,95.91836734693877,95.39591767881241,95.83898158438532,95.39591767881241,95.58533370502708
5,audio,77.3469387755102,,,,
5,video,94.28571428571428,,,,
5,fusion,95.91836734693877,95.53070175438597,95.51636590154031,95.53070175438597,95.38904334281278
