fold,model,accuracy,balanced_accuracy,precision,recall,f1
1,audio,78.20773930753563,,,,
1,video,85.5397148676171,,,,
1,fusion,94.70468431771894,93.95158569500674,94.42869002847888,93.95158569500674,94.0915083737958
2,audio,82.28105906313645,,,,
2,video,88.79837067209776,,,,
2,fusion,94.90835030549898,94.72925101214575,94.72079598483643,94.72925101214575,94.68428968690213
3,audio,84.6938775510204,,,,
3,video,71.22448979591837,,,,
3,fusion,93.26530612244898,94.04385964912281,93.3642753445385,94.04385964912281,93.55168302415841
4,audio,80.20408163265306,,,,
4,video,88.77551020408163,,,,
4,fusion,91.22448979591836,90.21443812233287,92.28163931739677,90.21443812233287,90.74709319222556
5,audio,83.6734693877551,,,,
5,video,75.51020408163265,,,,
5,fusion,95.10204081632652,94.68616642958749,95.00208251099676,94.68616642958749,94.81619554441558
