audio_path,modality_a,vocal_channel_a,emotion_a,emotion_label,emotion_idx,intensity_a,statement_a,repetition_a,actor,key,video_path,modality_v,vocal_channel_v,emotion_v,emotion_label_v,emotion_idx_v,intensity_v,statement_v,repetition_v,actor_v,face_hits
/kaggle/input/datasets/orvile/ravdess-dataset/Audio_Speech_Actors_01-24/Actor_01/03-01-01-01-01-01-01.wav,3,1,1,neutral,0,1,1,1,1,01-01-01-01-01-01,/kaggle/input/datasets/orvile/ravdess-dataset/Video_Speech_Actor_01/Actor_01/01-01-01-01-01-01-01.mp4,1,1,1,neutral,0,1,1,1,1,15
/kaggle/input/datasets/orvile/ravdess-dataset/Audio_Speech_Actors_01-24/Actor_02/03-01-01-01-01-01-02.wav,3,1,1,neutral,0,1,1,1,2,01-01-01-01-01-02,/kaggle/input/datasets/orvile/ravdess-dataset/Video_Speech_Actor_02/Actor_02/01-01-01-01-01-01-02.mp4,1,1,1,neutral,0,1,1,1,2,16
/kaggle/input/datasets/orvile/ravdess-dataset/Audio_Speech_Actors_01-24/Actor_03/03-01-01-01-01-01-03.wav,3,1,1,neutral,0,1,1,1,3,01-01-01-01-01-03,/kaggle/input/datasets/orvile/ravdess-dataset/Video_Speech_Actor_03/Actor_03/01-01-01-01-01-01-03.mp4,1,1,1,neutral,0,1,1,1,3,16
/kaggle/input/datasets/orvile/ravdess-dataset/Audio_Speech_Actors_01-24/Actor_04/03-01-01-01-01-01-04.wav,3,1,1,neutral,0,1,1,1,4,01-01-01-01-01-04,/kaggle/input/datasets/orvile/ravdess-dataset/Video_Speech_Actor_04/Actor_04/01-01-01-01-01-01-04.mp4,1,1,1,neutral,0,1,1,1,4,16
/kaggle/input/datasets/orvile/ravdess-dataset/Audio_Speech_Actors_01-24/Actor_05/03-01-01-01-01-01-05.wav,3,1,1,neutral,0,1,1,1,5,01-01-01-01-01-05,/kaggle/input/datasets/orvile/ravdess-dataset/Video_Speech_Actor_05/Actor_05/01-01-01-01-01-01-05.mp4,1,1,1,neutral,0,1,1,1,5,16
/kaggle/input/datasets/orvile/ravdess-dataset/Audio_Speech_Actors_01-24/Actor_06/03-01-01-01-01-01-06.wav,3,1,1,neutral,0,1,1,1,6,01-01-01-01-01-06,/kaggle/input/datasets/orvile/ravdess-dataset/Video_Speech_Actor_06/Actor_06/01-01-01-01-01-01-06.mp4,1,1,1,neutral,0,1,1,1,6,15
/kaggle/input/datasets/orvile/ravdess-dataset/Audio_Speech_Actors_01-24/Actor_07/03-01-01-01-01-01-07.wav,3,1,1,neutral,0,1,1,1,7,01-01-01-01-01-07,/kaggle/input/datasets/orvile/ravdess-dataset/Video_Speech_Actor_07/Actor_07/01-01-01-01-01-01-07.mp4,1,1,1,neutral,0,1,1,1,7,16
/kaggle/input/datasets/orvile/ravdess-dataset/Audio_Speech_Actors_01-24/Actor_08/03-01-01-01-01-01-08.wav,3,1,1,neutral,0,1,1,1,8,01-01-01-01-01-08,/kaggle/input/datasets/orvile/ravdess-dataset/Video_Speech_Actor_08/Actor_08/01-01-01-01-01-01-08.mp4,1,1,1,neutral,0,1,1,1,8,16
/kaggle/input/datasets/orvile/ravdess-dataset/Audio_Speech_Actors_01-24/Actor_09/03-01-01-01-01-01-09.wav,3,1,1,neutral,0,1,1,1,9,01-01-01-01-01-09,/kaggle/input/datasets/orvile/ravdess-dataset/Video_Speech_Actor_09/Actor_09/01-01-01-01-01-01-09.mp4,1,1,1,neutral,0,1,1,1,9,15
/kaggle/input/datasets/orvile/ravdess-dataset/Audio_Speech_Actors_01-24/Actor_10/03-01-01-01-01-01-10.wav,3,1,1,neutral,0,1,1,1,10,01-01-01-01-01-10,/kaggle/input/datasets/orvile/ravdess-dataset/Video_Speech_Actor_10/Actor_10/01-01-01-01-01-01-10.mp4,1,1,1,neutral,0,1,1,1,10,16
/kaggle/input/datasets/orvile/ravdess-dataset/Audio_Speech_Actors_01-24/Actor_11/03-01-01-01-01-01-11.wav,3,1,1,neutral,0,1,1,1,11,01-01-01-01-01-11,/kaggle/input/datasets/orvile/ravdess-dataset/Video_Speech_Actor_11/Actor_11/01-01-01-01-01-01-11.mp4,1,1,1,neutral,0,1,1,1,11,16
/kaggle/input/datasets/orvile/ravdess-dataset/Audio_Speech_Actors_01-24/Actor_12/03-01-01-01-01-01-12.wav,3,1,1,neutral,0,1,1,1,12,01-01-01-01-01-12,/kaggle/input/datasets/orvile/ravdess-dataset/Video_Speech_Actor_12/Actor_12/01-01-01-01-01-01-12.mp4,1,1,1,neutral,0,1,1,1,12,15
/kaggle/input/datasets/orvile/ravdess-dataset/Audio_Speech_Actors_01-24/Actor_13/03-01-01-01-01-01-13.wav,3,1,1,neutral,0,1,1,1,13,01-01-01-01-01-13,/kaggle/input/datasets/orvile/ravdess-dataset/Video_Speech_Actor_13/Actor_13/01-01-01-01-01-01-13.mp4,1,1,1,neutral,0,1,1,1,13,16
/kaggle/input/datasets/orvile/ravdess-dataset/Audio_Speech_Actors_01-24/Actor_14/03-01-01-01-01-01-14.wav,3,1,1,neutral,0,1,1,1,14,01-01-01-01-01-14,/kaggle/input/datasets/orvile/ravdess-dataset/Video_Speech_Actor_14/Actor_14/01-01-01-01-01-01-14.mp4,1,1,1,neutral,0,1,1,1,14,15
