fold,model,accuracy,balanced_accuracy,precision,recall,f1
1,audio,80.44806517311609,,,,
1,video,82.4847250509165,,,,
1,fusion,94.70468431771894,93.92189608636976,94.98246240463827,93.92189608636976,94.38844668677461
2,audio,81.05906313645622,,,,
2,video,93.48268839103869,,,,
2,fusion,96.74134419551935,96.37027665317139,96.400275528565,96.37027665317139,96.29442340006915
3,audio,84.6938775510204,,,,
3,video,79.38775510204081,,,,
3,fusion,95.71428571428572,95.04824561403508,95.94088778061511,95.04824561403508,95.44232886200098
4,audio,79.79591836734694,,,,
4,video,70.20408163265306,,,,
4,fusion,92.44897959183673,92.19436389831127,92.64771162672658,92.19436389831127,92.36052263570002
5,audio,82.6530612244898,,,,
5,video,65.71428571428571,,,,
5,fusion,91.63265306122449,91.02584163110478,91.30222279683962,91.02584163110478,91.06694519613808
