fold,model,accuracy,balanced_accuracy,precision,recall,f1
1,audio,80.65173116089613,,,,
1,video,93.07535641547861,,,,
1,fusion,94.5010183299389,94.09041835357625,94.59469843930756,94.09041835357625,94.26584760970238
2,audio,80.65173116089613,,,,
2,video,92.05702647657841,,,,
2,fusion,97.35234215885947,97.040991902834,97.11131673011253,97.040991902834,97.05043234142214
3,audio,83.87755102040816,,,,
3,video,94.48979591836735,,,,
3,fusion,97.55102040816327,97.35526315789474,97.10450484055933,97.35526315789474,97.19114920756246
4,audio,74.08163265306122,,,,
4,video,91.42857142857143,,,,
4,fusion,94.08163265306122,93.39832950359266,94.91483258629584,93.39832950359266,94.00635311024642
5,audio,86.53061224489797,,,,
5,video,92.04081632653062,,,,
5,fusion,95.71428571428572,94.69621949885108,96.06513106221635,94.69621949885108,95.29875867131179
